index,name,online_order,book_table,rate,votes,location,rest_type,cuisines,listed_in(type),listed_in(city),approx_cost
29933,Indori Chatorey,1,0,2.8 ,137,0,73,1995,2,17,100.0
29934,Biriyani Mane,1,0,3.7 ,159,31,24,358,2,17,125.0
29935,C Kosila Kitchen,1,0,3.1 ,7,18,73,1585,2,17,200.0
29936,Grills And Tandoor,1,1,3.7 ,110,44,24,1649,2,17,250.0
29938,Shudh Desi Khana,1,0,3.5 ,18,40,73,1649,2,17,75.0
29939,White Elefan Coffee and Snack Bar,1,0,3.9 ,44,45,73,863,2,17,150.0
29940,YumYumSouth,1,0,3.5 ,36,46,36,2149,2,17,50.0
29941,Indus Family Restaurant,1,0,3.8 ,117,0,24,1629,2,17,75.0
29942,Tempteys,1,0,4.2 ,249,0,39,283,2,17,100.0
29943,New Prashanth Hotel,1,0,3.1 ,53,22,24,2163,2,17,100.0
29944,The Ganache Factory,1,0,4.1 ,41,16,38,1037,2,17,175.0
29945,Funky Punjab,1,0,3.8 ,127,0,73,1649,2,17,150.0
29946,Roundup Cafe,1,1,4.2 ,496,44,16,546,2,17,100.0
29947,Burger Garden,1,0,3.4 ,7,79,36,1119,2,17,250.0
29948,Paratha Darbar,1,0,3.5 ,15,40,73,1585,2,17,150.0
29949,Grand Gowdru Hotel,1,0,3.4 ,31,45,24,2224,2,17,150.0
29950,Coffee Tea & More,1,0,4.0 ,64,44,73,322,2,17,100.0
29951,Waffle Stories,1,0,4.0 ,70,0,37,1041,2,17,50.0
29952,The Belgian Waffle Co.,1,0,4.2 ,180,44,37,1041,2,17,150.0
29953,Garage Food Company,1,0,3.9 ,45,22,73,768,2,17,200.0
29954,High n Hungry,1,0,2.9 ,95,0,36,1960,2,17,200.0
29955,Kaati Zone,1,0,3.4 ,6,45,73,1112,2,17,200.0
29956,Ibaco,1,0,4.0 ,60,22,37,1035,2,17,150.0
29957,Smokey Tribe Restaurant,1,0,3.8 ,267,46,24,1583,2,17,675.0
29958,Pazzo,1,0,4.3 ,379,22,24,36,2,17,150.0
29959,Brooks and Bonds Brewery,1,1,4.5 ,3967,44,29,968,2,17,450.0
29960,Cafe D'hide,1,1,4.2 ,874,44,16,483,2,17,200.0
29961,Shift,1,1,4.2 ,1920,22,60,1218,2,17,200.0
29962,HSR Agarval Bhavan,1,0,3.2 ,68,22,24,2268,2,17,75.0
29963,Buff Buffet Buff,1,1,4.5 ,3163,44,25,1698,2,17,350.0
29964,Oldtown Dilli,1,1,4.1 ,258,43,24,1577,2,17,200.0
29965,The Sandwich Club,1,0,3.9 ,88,22,73,1092,2,17,175.0
29966,Art of Delight,0,0,4.3 ,450,44,37,1304,2,17,200.0
29967,Indian Coffee House & Restaurant,0,0,4.2 ,676,44,24,2224,2,17,50.0
29969,Maa Durga Fast Food,1,0,3.6 ,21,47,73,1819,2,17,125.0
29970,Samosa Party,0,0,4.1 ,44,44,73,2295,2,17,150.0
29971,Homifoo,1,0,3.5 ,11,22,73,1585,2,17,300.0
29972,7 Plates,1,0,3.7 ,259,44,24,1563,2,17,150.0
29973,Mad Over Biryani,1,0,3.1 ,9,45,73,1623,2,17,275.0
29974,Zingron,1,0,4.0 ,515,46,24,774,2,17,350.0
29976,Yummy Biryani,1,0,3.8 ,41,46,73,333,2,17,325.0
29977,Udupi Thaja Thindi,1,0,2.9 ,42,0,73,1960,2,17,200.0
29978,Oogway express,1,0,3.4 ,9,22,24,845,2,17,125.0
29979,Swathi Maharaja,1,1,3.7 ,291,43,24,87,2,17,75.0
29980,The Marash,1,0,4.3 ,67,44,37,2361,2,17,125.0
29981,Tim Tai,1,1,4.4 ,3674,44,24,842,2,17,150.0
29982,The London Shakes,1,0,3.5 ,14,0,11,293,2,17,500.0
29983,Mudpipe Cafe,1,1,4.5 ,1879,0,16,551,2,17,650.0
29984,Shree Saraswathi Sweets Centre,1,0,3.6 ,18,40,83,1531,2,17,750.0
29985,The Himalayan,0,1,4.4 ,326,44,24,1457,2,17,700.0
29986,The Arabian Nights,1,0,2.6 ,51,0,86,145,2,17,750.0
29987,Thanco's Natural Ice Cream,1,0,3.6 ,28,0,37,1302,2,17,600.0
29988,Sri Ganesh Fruit Juice Centre,1,0,3.2 ,4,45,11,1379,2,17,800.0
29989,Goli Vada Pav No. 1,1,0,3.7 ,215,44,73,2278,2,17,600.0
29990,Gods Own Cafe,1,0,4.4 ,384,46,73,2215,2,17,750.0
29991,Om Sai Baba Mess,1,0,3.1 ,11,22,62,2149,2,17,600.0
29994,Hotel Smile,1,0,3.1 ,6,31,24,1649,2,17,600.0
29996,Ghar Ka Bhojan,1,0,3.3 ,7,16,36,1838,2,17,650.0
29997,Tandoor Merchant,1,0,3.4 ,24,0,86,1700,2,17,550.0
29998,Taj Darbar,1,0,3.8 ,149,44,24,392,2,17,550.0
29999,Third Wave Coffee Roasters,1,0,4.1 ,142,22,16,538,2,17,500.0
30000,Anika's India Kitchen,1,0,3.3 ,5,22,36,398,2,17,750.0
30001,Hotel Ruchi Priya,1,0,3.6 ,22,89,73,1585,2,17,550.0
30002,Ammus Hot N Cool,1,0,3.4 ,84,0,73,1829,2,17,600.0
30003,Begin with us....Tea Time Cafe,1,0,3.9 ,38,46,11,328,2,17,75.0
30004,Tandoor Hut,1,0,4.1 ,1003,44,24,1898,2,17,450.0
30005,Cakes & Candles,1,0,3.1 ,11,44,3,230,2,17,600.0
30006,New South Corner,1,0,3.7 ,20,0,73,2224,2,17,550.0
30007,On The Nose,1,0,3.8 ,618,0,16,640,2,17,675.0
30008,City Durbar,1,0,3.7 ,72,31,24,1670,2,17,700.0
30010,Sai Mango Tree,1,0,3.6 ,45,0,24,1649,2,17,700.0
30011,The Yellow Tuk-Tuk Cafe,1,0,3.6 ,16,44,16,546,2,17,800.0
30012,Raj Rasoi,1,0,3.5 ,12,18,73,1649,2,17,400.0
30014,Kalpavriksha Upahara,1,0,3.9 ,127,31,73,2224,2,17,300.0
30015,154 Breakfast Club,1,1,4.0 ,1515,42,16,538,2,17,375.0
30016,Lord of Combos,1,0,3.0 ,28,22,36,1585,2,17,750.0
30017,Mecaf Family Restaurant,1,0,3.9 ,214,0,24,1706,2,17,400.0
30018,Baskin Robbins,1,0,3.7 ,42,22,37,1302,2,17,500.0
30019,Juice 99,1,0,3.5 ,20,0,11,1102,2,17,700.0
30020,Prawn Crunch,1,0,3.3 ,8,0,73,1194,2,17,375.0
30021,Dr. Shawarma,1,0,3.5 ,4,22,73,1925,2,17,400.0
30022,Karachi Bakery,1,0,3.4 ,7,44,0,230,2,17,450.0
30023,Malabar Mandra,1,0,3.6 ,45,40,24,1417,2,17,600.0
30024,Chaska Bun,1,0,4.2 ,166,44,73,1092,2,17,350.0
30025,Graffitea,1,0,3.7 ,16,0,14,293,2,17,350.0
30026,Smoothie Hub,1,0,3.1 ,4,0,11,322,2,17,250.0
30027,Shree Udupi Grand,1,0,3.8 ,14,31,24,2224,2,17,350.0
30029,Hunger2Eat,1,0,3.7 ,26,0,73,367,2,17,350.0
30030,Mayur,1,1,3.7 ,21,25,24,91,2,17,250.0
30031,Fava Bistro,1,1,4.4 ,387,44,25,1511,2,17,225.0
30032,Sri Sankara Cafe,1,0,3.6 ,26,0,73,2149,2,17,300.0
30033,Vinaya Cafe,1,0,3.4 ,11,31,73,2269,2,17,350.0
30034,Ooty Chocolates,1,0,4.1 ,157,43,37,1035,2,17,450.0
30036,Bun Town,1,0,4.0 ,205,0,17,496,2,17,350.0
30037,Xpress Chai,1,0,3.7 ,31,0,11,2327,2,17,250.0
30039,Popsies,1,0,3.9 ,823,44,24,768,2,17,250.0
30040,The Hungers Zone,1,0,3.8 ,57,0,73,1157,2,17,325.0
30041,Sri Nandi Grand,1,0,3.4 ,7,0,73,1935,2,17,325.0
30042,Eshanya,1,1,4.1 ,1082,31,24,1649,2,17,300.0
30043,Bonum cibum,1,0,4.5 ,237,22,24,1467,2,17,50.0
30044,Bawarchi Inn,1,0,3.1 ,140,0,24,1624,2,17,300.0
30045,Drunken Monkey,1,0,4.2 ,115,0,14,293,2,17,50.0
30046,Mimansa @ Foxtrot,1,1,4.4 ,192,42,16,475,2,17,425.0
30047,Mr. Beans - Home Cafe,1,1,4.2 ,2714,42,16,562,2,17,175.0
30048,Crunchy Nights,1,0,3.7 ,30,0,36,1684,2,17,300.0
30049,Just Chill,1,0,3.4 ,54,0,11,283,2,17,350.0
30050,Just Bake,1,0,3.8 ,123,44,0,230,2,17,350.0
30051,New Royal Treat,1,0,2.8 ,102,3,73,1649,2,17,400.0
30052,Khan Saheb Grills and Rolls,1,0,3.8 ,63,25,73,1182,2,17,200.0
30053,Magnolia,1,1,4.1 ,674,42,24,841,2,17,500.0
30054,Elmas Restaurant,1,0,3.4 ,34,46,24,1866,2,17,400.0
30055,Panther Cafe,1,0,3.5 ,8,0,11,283,2,17,100.0
30056,Refills Eatery And Beverages,1,0,3.8 ,92,0,36,1948,2,17,200.0
30057,Sidewalk Cafe & Bar - The Paul Bangalore,1,1,4.2 ,217,16,24,1082,2,17,150.0
30058,Crunch Pizzas,1,0,2.9 ,331,16,36,1359,2,17,275.0
30059,Mug N Bean,1,0,3.9 ,247,31,16,564,2,17,200.0
30060,Kor Cafe,1,0,3.8 ,36,40,73,1406,2,17,250.0
30061,Desi Dhaba,1,0,3.3 ,13,0,36,1649,2,17,250.0
30062,Havmor,1,0,3.8 ,37,31,37,1302,2,17,100.0
30063,Navya Foods,1,0,3.4 ,7,22,73,1819,2,17,300.0
30064,Petoo,1,0,4.0 ,25,0,73,1832,2,17,325.0
30065,Vintage Shack,1,1,3.9 ,161,22,28,1785,2,17,250.0
30066,INDULGE by InnerChef,1,0,3.6 ,29,46,0,1037,2,17,250.0
30067,Via Milano,1,1,4.2 ,1626,43,24,2093,2,17,250.0
30068,Dreams Cafe - All Day English Food St.,1,0,3.8 ,230,40,16,551,2,17,250.0
30069,Crawl Street,1,1,4.3 ,2572,44,6,938,2,17,275.0
30070,North Indian Tadka,1,0,3.0 ,6,18,73,778,2,17,300.0
30071,Baba Ka Dhaba,1,0,3.7 ,195,0,73,1585,2,17,150.0
30072,Smoke - The Sizzler House,1,1,4.0 ,1390,46,24,921,2,17,275.0
30073,Donne Biriyani Mane,1,0,3.1 ,22,16,73,398,2,17,450.0
30074,Vyanjan,1,0,3.9 ,203,0,73,1995,2,17,200.0
30075,Punjab Bistro,1,1,4.4 ,459,46,25,1585,2,17,175.0
30078,The Monalisa Restaurant,1,0,3.3 ,4,44,73,700,2,17,250.0
30079,Kwality Cakes N Bakes,1,0,3.7 ,92,22,0,230,2,17,75.0
30080,Brownie Points,1,0,3.8 ,25,43,0,230,2,17,250.0
30081,RBP Greens Garden,1,0,2.7 ,48,0,24,1649,2,17,250.0
30082,Cafe Medley,1,0,4.2 ,1063,44,16,551,2,17,200.0
30083,Drunkling - Sizzlers and Pub,1,1,4.4 ,347,44,25,730,2,17,225.0
30084,GrannyzHut,1,0,3.4 ,8,22,73,272,2,17,175.0
30085,Call A Cake,1,0,3.6 ,41,0,36,222,2,17,400.0
30086,Ramji Chaiwale,1,0,3.8 ,94,40,73,293,2,17,150.0
30087,Kulfisthan,1,0,3.5 ,7,22,37,1295,2,17,100.0
30088,Snack Knack,1,0,3.0 ,36,0,73,1649,2,17,150.0
30089,Pingara,1,0,3.8 ,94,40,24,1727,2,17,200.0
30090,Juice Junction Food Court,1,0,3.7 ,70,45,14,309,2,17,400.0
30091,Chaatimes,1,0,4.2 ,9,0,73,2295,2,17,200.0
30094,Samosa Express,1,0,3.1 ,9,0,73,2278,2,17,400.0
30095,Qube Cafe,1,0,4.2 ,169,43,16,588,2,17,300.0
30096,Oregano Pizzeria,1,0,3.7 ,52,43,16,641,2,17,200.0
30097,Calicut Durbar,1,0,3.8 ,57,46,73,141,2,17,150.0
30098,The Kitchen,1,0,3.6 ,9,40,73,1585,2,17,175.0
30099,Ustaad Biryani,1,0,3.2 ,5,22,36,333,2,17,225.0
30100,Attic Lounge,1,1,4.0 ,1238,43,16,475,2,17,300.0
30101,Swaadam Veg,1,0,3.6 ,34,0,24,2176,2,17,250.0
30102,Reddy's Restaurant,1,0,3.7 ,141,22,24,64,2,17,375.0
30103,Cookie Man,1,0,4.0 ,100,46,37,222,2,17,100.0
30104,Ganesh Restaurant,1,0,3.7 ,51,44,73,835,2,17,150.0
30105,Mak n Vak - Fyn,1,0,3.9 ,338,22,73,1649,2,17,150.0
30106,Hang10 Resto N Cafe,1,0,3.7 ,101,0,16,659,2,17,200.0
30107,Rolls & Co,1,0,3.9 ,213,45,73,449,2,17,300.0
30108,Pathy's Kitchen,1,0,3.5 ,21,27,73,49,2,17,200.0
30109,Eshmeet Da Dhaba,1,0,3.1 ,120,45,24,1649,2,17,150.0
30110,Galli Belly,1,0,3.4 ,9,16,73,2103,2,17,250.0
30111,Sharma's Malai & Masala,1,0,4.0 ,457,40,24,1585,2,17,300.0
30112,Bistro Claytopia,1,1,4.1 ,1855,40,16,488,2,17,150.0
30113,Lassi Corner,1,0,3.5 ,16,44,11,289,2,17,75.0
30114,Calvin's,1,0,3.8 ,22,22,43,1035,2,17,200.0
30115,Wild Thyme Restaurant,0,0,4.5 ,42,44,24,733,2,17,325.0
30117,Atithi,1,1,3.9 ,224,22,24,1772,2,17,50.0
30119,Swad 'E' Punjab,1,0,3.6 ,51,22,24,1734,2,17,200.0
30120,The Beer Cafe,1,1,4.2 ,1176,43,68,1212,2,17,225.0
30121,Paratha Singh Pakora King,1,0,3.7 ,36,45,73,2060,2,17,350.0
30122,Jayanagar Grill House,1,0,3.5 ,35,31,73,379,2,17,300.0
30123,Chilld Monk,1,0,3.5 ,8,0,37,1058,2,17,150.0
30124,Chef Baker's,1,0,3.6 ,37,40,5,222,2,17,250.0
30125,Ghee Positive,1,0,3.8 ,48,47,73,1649,2,17,200.0
30126,Mid Night Hunting,1,0,3.7 ,127,18,86,1153,2,17,250.0
30127,Midnight Mania,1,0,4.1 ,725,45,36,2038,2,17,375.0
30128,Dice N Dine,1,1,4.3 ,1807,44,26,906,2,17,325.0
30129,Sober Turtle,0,0,3.3 ,39,43,73,2318,2,17,200.0
30132,Carrots,1,1,4.1 ,601,45,24,1354,2,17,150.0
30133,A.M New Punjab Food Corner,1,0,3.5 ,21,40,73,1649,2,17,200.0
30134,Venkateshwara Foods,1,0,3.0 ,13,69,86,2320,2,17,375.0
30135,Milk N Shakes,1,0,3.8 ,47,47,11,283,2,17,125.0
30136,Uday Sweets,1,0,3.8 ,34,44,83,1524,2,17,150.0
30137,Taste of Nepal,1,0,3.5 ,24,47,73,1579,2,17,225.0
30138,ReFresh Juice Junction,1,0,4.1 ,57,40,14,1385,2,17,425.0
30139,Willys Top Cafe,1,0,4.0 ,310,31,16,544,2,17,200.0
30140,Pipabu,1,0,3.8 ,75,43,24,952,2,17,250.0
30141,Flavour of Himalaya,1,0,3.7 ,24,44,73,159,2,17,150.0
30142,Borah's Kitchen,1,0,3.3 ,12,0,73,1649,2,17,200.0
30143,Ruh's Cafe,1,0,4.1 ,465,0,16,490,2,17,150.0
30144,Cinnamon,1,0,3.9 ,450,22,24,1670,2,17,125.0
30145,Aubree Le Chocolatier,1,0,3.5 ,18,45,37,1035,2,17,300.0
30146,South Side Grill,1,0,3.5 ,14,22,24,1567,2,17,250.0
30148,Banjara Melting Pot,1,1,4.2 ,767,43,24,1754,2,17,100.0
30151,Mustard Food Court,1,0,3.6 ,165,42,24,1649,2,17,300.0
30152,Khan's Biryani,1,0,3.0 ,11,0,73,398,2,17,275.0
30153,Chatter Platter,1,0,3.4 ,30,0,73,1752,2,17,200.0
30159,TOKI Taco House,1,0,3.6 ,72,45,73,1512,2,17,250.0
30162,JP Fish Land,1,0,3.6 ,24,0,73,2105,2,17,175.0
30163,Tandoor Garden,1,0,3.6 ,71,0,73,1718,2,17,350.0
30165,Haagen Dazs,1,0,3.9 ,79,46,37,1302,2,17,300.0
30167,Ilyazsab The House Of Chicken,1,0,4.0 ,120,0,73,2069,2,17,100.0
30168,Nutri Fit,1,0,3.4 ,5,22,86,1249,2,17,150.0
30169,Over The Top Terrace Lounge,0,1,3.9 ,1389,44,57,977,2,17,750.0
30170,Kinpeetos,1,0,3.9 ,64,44,73,1462,2,17,125.0
30171,Chai Culture,1,0,3.6 ,8,31,11,283,2,17,300.0
30172,Bake and Juice,1,0,3.5 ,15,0,73,1167,2,17,150.0
30173,Laziz Pizza,1,0,3.8 ,46,46,73,1122,2,17,200.0
30174,Shree Thali,0,0,4.1 ,183,44,62,1585,2,17,150.0
30175,Tongue Twisters,1,0,3.5 ,283,0,73,276,2,17,300.0
30176,Black Deer,1,0,4.4 ,149,44,86,289,2,17,275.0
30177,Nutripress,1,0,3.3 ,4,47,11,1378,2,17,150.0
30178,Mangalore Lunch Home,1,0,3.6 ,43,0,73,1986,2,17,150.0
30179,Joon Restaurant,1,0,3.7 ,31,0,73,123,2,17,200.0
30180,Bistro Oui,1,1,4.1 ,402,44,18,581,2,17,250.0
30181,Royal Paris,1,0,3.8 ,71,0,24,1597,2,17,250.0
30183,Kevins Kitchen,1,0,3.8 ,103,45,73,1670,2,17,225.0
30184,TheRiceBowl.In,1,0,3.4 ,19,0,85,398,2,17,175.0
30185,Eatery Have U Been,1,0,3.4 ,35,0,23,533,2,17,350.0
30187,Davanagere Benne Dose,1,0,3.9 ,106,22,73,2149,2,17,200.0
30188,Kopper Kadai,1,1,4.1 ,1697,44,24,1649,2,17,250.0
30189,Mid-Night Crunch,1,0,3.7 ,455,22,86,1649,2,17,250.0
30191,New Friends,1,0,3.8 ,273,0,24,1800,2,17,350.0
30193,Momo Jojo,1,0,3.4 ,6,0,73,857,2,17,300.0
30195,Kings Kitchen,1,0,3.3 ,7,40,36,398,2,17,300.0
30196,Flavour of China,1,0,3.8 ,254,0,24,700,2,17,300.0
30197,Tasty Magic,1,0,2.7 ,73,0,24,778,2,17,300.0
30198,Tasty Jigarthanda,1,0,3.4 ,11,0,11,303,2,17,250.0
30199,Potato Bae,1,0,4.1 ,56,44,73,1092,2,17,300.0
30200,Cochin Connection,1,0,3.6 ,41,45,50,1444,2,17,150.0
30201,The French Loaf,0,0,3.8 ,34,44,0,237,2,17,200.0
30202,Harry's Bar + Cafe,1,1,4.2 ,1367,46,25,160,2,17,75.0
30203,MK Dabbawala,1,0,3.1 ,5,43,36,1585,2,17,75.0
30204,PagalKhana,1,1,3.9 ,144,43,24,911,2,17,300.0
30205,Bombay Kulfis,1,0,3.9 ,27,44,37,1295,2,17,75.0
30206,Midnight Restro,1,0,3.4 ,55,0,36,1819,2,17,200.0
30207,Hungry Buddies,1,0,3.3 ,33,0,73,1585,2,17,100.0
30208,Arabian Bites,1,0,3.4 ,24,0,73,1649,2,17,150.0
30209,Natural Mumbai Kulfi,1,0,3.5 ,8,0,37,1295,2,17,150.0
30210,Big Mishra Pedha,0,0,3.7 ,61,0,83,1520,2,17,150.0
30213,Khana Khazana,1,0,3.7 ,22,3,36,1585,2,17,200.0
30215,Rajvardhan Foods,1,0,3.9 ,316,31,73,2301,2,17,250.0
30216,Entropy Cafe,1,0,4.1 ,505,45,16,535,2,17,200.0
30217,A3 Nuwang Kitchen,1,0,3.7 ,42,18,73,778,2,17,200.0
30218,North Indian And Bengali Mess,0,0,3.7 ,34,44,62,1612,2,17,200.0
30219,Freeze It,1,0,3.6 ,6,0,37,1295,2,17,400.0
30220,Fudge,1,0,3.2 ,12,31,37,1066,2,17,300.0
30221,Sip N Bite,0,0,3.3 ,11,7,73,1176,2,17,300.0
30222,A Today Thick Shakes,0,0,3.2 ,9,44,11,283,2,17,650.0
30223,The Cuboidal,1,0,3.6 ,16,0,73,1108,2,17,375.0
30224,Kargeens,1,0,4.1 ,992,45,16,562,2,17,300.0
30225,Cafe 221B,1,1,3.7 ,49,0,16,506,2,17,225.0
30226,Big Fat Brownie,1,0,3.4 ,6,22,86,254,2,17,200.0
30229,Al Swaad Take Away,1,0,3.1 ,13,70,73,1940,2,17,125.0
30230,Gulp The Pulp,1,0,3.7 ,19,43,36,311,2,17,450.0
30231,China Tang,1,0,3.7 ,41,0,86,700,2,17,700.0
30232,Armaani Caffe,1,0,3.5 ,12,0,73,1092,2,17,250.0
30233,Momo Hut,1,0,4.0 ,685,44,73,857,2,17,225.0
30234,Frolic,1,0,4.0 ,34,46,37,1390,2,17,250.0
30236,Biryani Nights,1,0,3.5 ,20,3,73,2224,2,17,150.0
30237,2nd Home Restaurant,1,0,3.7 ,21,0,73,2224,2,17,200.0
30239,Eat Well,1,0,3.5 ,33,27,73,1649,2,17,225.0
30240,Dhaba Express,1,0,3.7 ,175,22,86,368,2,17,225.0
30242,Malabar Treat,1,0,3.4 ,6,40,73,1602,2,17,200.0
30243,Durbar Greens Family Restaurant,1,0,3.6 ,10,25,24,1760,2,17,150.0
30244,New Andhra Spice,1,0,3.6 ,22,0,24,49,2,17,400.0
30245,Bewiched,1,0,3.4 ,10,22,73,1189,2,17,250.0
30246,Bun Town,1,0,3.8 ,22,44,16,496,2,17,250.0
30247,Crown Gold,1,0,3.9 ,49,43,73,2193,2,17,175.0
30248,Black Cup Cafe,1,0,3.7 ,28,0,16,598,2,17,325.0
30249,Kafe Nook,1,0,3.6 ,35,0,73,1092,2,17,200.0
30250,Fill N Chill Resto Bar & Pub,1,1,3.9 ,599,43,6,1229,2,17,200.0
30251,Goodness! Beverages,1,0,3.4 ,4,39,36,283,2,17,250.0
30253,Bhaijaan Barbeques,1,0,3.4 ,6,46,73,1550,2,17,100.0
30254,The Paratha Stories,1,0,3.3 ,38,40,36,1585,2,17,325.0
30255,Fiero! Pizzeria,1,0,4.0 ,62,45,73,1342,2,17,200.0
30256,Daily Bite,1,0,3.5 ,14,70,73,1055,2,17,150.0
30258,Abhiruchi Moonlight,1,0,3.3 ,4,7,86,1585,2,17,175.0
30259,Homely Curries & Pickles,1,0,3.4 ,50,0,73,334,2,17,200.0
30260,Marahaba,1,0,3.0 ,7,45,73,135,2,17,225.0
30261,TRIGEREATO,1,1,4.4 ,103,47,16,546,2,17,250.0
30262,Food And You,0,0,3.8 ,89,44,73,1835,2,17,600.0
30265,Habitts,1,0,3.7 ,61,0,73,1120,2,17,250.0
30266,New Grand Restaurant,1,0,3.1 ,11,0,24,1944,2,17,300.0
30267,Tomago Roast,1,0,3.5 ,12,0,73,1102,2,17,300.0
30268,Tangerine - Davanam Sarovar Portico Suites,1,1,4.0 ,151,41,24,960,2,17,325.0
30269,Chill-Um Cafe,1,1,4.1 ,152,45,73,530,2,17,250.0
30270,Apsara Ice Cream,0,0,4.1 ,145,44,37,1295,2,17,100.0
30271,B.M.W - Bhookh Mitaane Wala,1,0,3.7 ,502,40,36,1948,2,17,100.0
30272,Chefie,1,0,3.8 ,37,40,73,932,2,17,175.0
30273,Juicy Momos,1,0,3.2 ,4,31,56,2354,2,17,600.0
30274,Brews N Bites,1,0,2.9 ,62,31,76,744,2,17,150.0
30276,Daawat Restaurant Bar & Pub,1,0,3.5 ,9,46,7,1234,2,17,200.0
30278,Ronnie's Kitchen,0,0,3.1 ,12,44,73,700,2,17,75.0
30279,The Tower Of Pizza,0,0,2.9 ,16,44,73,2037,2,17,200.0
30281,S.W.A.T Food Truck,0,0,3.7 ,21,44,73,26,2,17,175.0
30282,Hungry Bowl,0,0,3.6 ,51,44,86,1713,2,17,100.0
30283,Niice Cream,0,0,3.8 ,38,44,37,1298,2,17,200.0
30284,Chai Mane,0,0,3.0 ,8,44,73,1385,2,17,150.0
30285,Eat Repeat Express,0,0,3.5 ,10,44,36,1684,2,17,250.0
30286,BOX8- Desi Meals,1,0,4.4 ,405,44,86,1904,2,17,125.0
30287,Mountain Spice,1,0,3.9 ,188,47,73,776,2,17,175.0
30288,Night Spoon,0,0,2.4 ,45,44,36,1204,2,17,275.0
30289,Kanha's Kafe,0,0,3.5 ,12,44,73,205,2,17,400.0
30290,FrostBite,0,0,3.5 ,15,44,43,1055,2,17,150.0
30291,Lets cafe,0,0,3.5 ,6,44,73,778,2,17,150.0
30293,Malabar Mint,0,0,3.4 ,39,44,24,1429,2,17,150.0
30294,Ande Ka Funda,0,0,3.2 ,9,44,73,1748,2,17,200.0
30300,Eatsomnia,1,0,3.5 ,433,40,36,1955,2,17,200.0
30301,Cafe Fattoush,1,0,3.8 ,24,0,16,649,2,17,200.0
30302,Restro Cafe,1,0,3.8 ,30,31,16,475,2,17,350.0
30303,Shake Tat Bottle,1,0,3.2 ,6,0,11,283,2,17,250.0
30304,BelgYum,1,0,4.0 ,69,46,37,1035,2,17,300.0
30306,The Charcoal Factory,1,0,4.1 ,292,45,73,468,2,17,525.0
30307,Kyakhanahai,0,0,3.4 ,8,44,36,1935,2,17,250.0
30308,Midnight Express,0,0,2.8 ,26,44,86,1684,2,17,300.0
30309,Midnight Hunger Solutions 24/7,0,0,3.2 ,10,44,36,1894,2,17,375.0
30313,Cashmere Nites,1,0,3.5 ,74,45,24,1395,2,17,300.0
30314,Limra Hotel,1,0,3.3 ,26,0,73,778,2,17,300.0
30315,The Vacationer's Cafe,1,0,4.1 ,306,46,16,572,2,17,250.0
30317,Imperial Restaurant,1,0,3.6 ,243,45,24,2113,2,17,150.0
30318,Hotel Archana Grand,1,0,3.6 ,23,7,73,778,2,17,150.0
30319,Kullukki,1,0,3.5 ,9,44,73,1380,2,17,400.0
30320,Breaktime Brew,1,0,3.7 ,24,46,16,475,2,17,375.0
30321,Appam & Curry,1,0,3.8 ,18,40,73,1444,2,17,100.0
30322,Cafemoto,1,0,4.0 ,201,44,16,564,2,17,250.0
30324,McLeans Italian Pizzeria,1,0,3.4 ,30,18,36,43,2,17,300.0
30325,Kokomo,1,0,4.0 ,195,45,36,2339,2,17,700.0
30326,Night Restro,1,0,3.1 ,224,0,36,1649,2,17,325.0
30327,VRS Food Zone,1,0,3.3 ,5,18,73,741,2,17,100.0
30332,Chakh Le india,1,0,3.2 ,6,7,73,1649,2,17,
30333,The Shawarma Inc,1,0,3.4 ,95,44,73,126,2,17,100.0
30334,The Hidden Cafe,1,0,3.9 ,96,40,73,1819,2,17,400.0
30335,Lassi Top,1,0,3.2 ,7,43,11,303,2,17,200.0
30337,Rollin,1,0,4.0 ,212,43,73,1014,2,17,150.0
30338,Rajan's Cafe,1,0,2.8 ,79,16,73,1700,2,17,225.0
30339,Abhiruchi,1,0,2.9 ,36,22,86,67,2,17,125.0
30340,Kitchen24,1,0,3.4 ,15,0,85,1335,2,17,200.0
30342,Nite Out,1,0,4.0 ,1113,43,36,1670,2,17,200.0
30343,Hungry Queen,1,0,3.6 ,46,22,86,1700,2,17,300.0
30344,Hasini Foods,0,0,2.9 ,21,43,73,69,2,17,200.0
30345,BTM Bawarchi Biryani,1,0,3.6 ,132,0,86,402,2,17,250.0
30346,Nature's Restaurant,1,0,3.3 ,4,16,73,766,2,17,300.0
30347,Perch,1,0,3.5 ,14,0,73,1318,2,17,250.0
30348,Petoo,1,0,3.8 ,178,40,24,1832,2,17,200.0
30349,Fresh Bites,1,0,3.3 ,16,40,73,1340,2,17,450.0
30351,Miss Momo,1,0,3.2 ,12,0,73,2354,2,17,150.0
30352,Brewz Coffee,1,0,3.0 ,61,0,16,475,2,17,400.0
30353,Lassi Pot,1,0,3.3 ,4,0,11,283,2,17,150.0
30354,Royal View Restaurant,1,0,3.7 ,26,0,24,1654,2,17,175.0
30356,Ober Cafe,1,0,3.5 ,10,40,73,1144,2,17,100.0
30357,Under The Hood,1,0,4.0 ,76,40,73,2092,2,17,350.0
30358,Combo Box,1,0,3.0 ,20,46,86,1629,2,17,750.0
30359,Totus,1,0,3.7 ,16,0,73,700,2,17,200.0
30360,Pensiri Cafe,1,0,3.6 ,48,22,86,1585,2,17,225.0
